customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,membership_status
1,Adrea,Bahls,abahls0@nytimes.com,659-543-8670,13755 Straubel Way,Bagacay,Philippines,6216,active
2,Skipper,Hussy,shussy1@kickstarter.com,880-226-6272,13279 Anniversary Avenue,Uritsk,Russia,663594,active
3,Marion,Trowle,mtrowle2@china.com.cn,202-477-4728,48225 Dawn Point,Awat,China,,inactive
4,Ingrim,Ledekker,iledekker3@livejournal.com,801-645-0588,3 Miller Center,Nalinggou,China,,active
5,Karol,Newsome,knewsome4@topsy.com,476-194-4047,6489 Dottie Junction,Heihe,China,,active
6,Angil,Bourdel,abourdel5@ucoz.com,290-931-2044,05 Village Plaza,Krajan,Indonesia,,pending
7,Baron,Robillard,brobillard6@state.gov,945-577-5658,50 North Pass,Taiobeiras,Brazil,39550-000,active
8,Courtnay,Mariaud,cmariaud7@last.fm,973-382-2954,832 Talisman Crossing,Zel’va,Belarus,,pending
9,Sabra,Bamfield,sbamfield8@woothemes.com,281-581-6781,7211 Hooker Road,Marseille,France,13382 CEDEX 13,active
10,Cairistiona,Cockhill,ccockhill9@miibeian.gov.cn,127-176-5626,22597 Comanche Point,Pangkalan,Indonesia,,active
11,Lark,Sydes,lsydesa@cornell.edu,669-498-5997,96556 Delladonna Center,Lusambo,Democratic Republic of the Congo,,pending
12,Huntley,Devorill,hdevorillb@slideshare.net,102-685-1518,43 Bellgrove Lane,Tangerang,Indonesia,,inactive
13,Mame,Fellgatt,mfellgattc@devhub.com,602-479-4114,155 Sauthoff Avenue,Baixo Guandu,Brazil,29730-000,pending
14,Elijah,MacChaell,emacchaelld@skype.com,950-579-5245,36025 Colorado Terrace,Cential,Portugal,3070-085,inactive
15,Haley,Woodhead,hwoodheade@free.fr,600-236-1423,52 Meadow Vale Center,Pillpinto,Peru,,inactive
16,Tailor,Pedlingham,tpedlinghamf@oakley.com,465-203-2452,0 Merry Parkway,Uzyn,Ukraine,,pending
17,Hoyt,Garley,hgarleyg@yahoo.co.jp,728-362-5563,958 Nevada Parkway,Sosándra,Greece,,active
