Name,Fname,Lname,Email1,Organisation,Country,Tags
Lynn Day,Lynn,Day,sample1@hotmail.com,Turkish Patents,TR,"""Foreign Associates"",""Non-European Associate"",""EQ"",""TR"",""Upload 02-Oct-25"""
Brendan Marks,Brendan,Marks,sample2@yahoo.co.uk,US Trademark Company,US,"""Foreign Associates"",""Non-European Associate"",""US Associate"",""EQ"",""US"",""Upload 02-Oct-25"""
Sheila Hood,Sheila,Hood,sample3@btinternet.com,Canadian Engineering Company,CA,"""Foreign Associates"",""Non-European Associate"",""EQ"",""CA"",""Upload 03-Nov-25"""
Ben Bell,Ben,Bell,sample4@gmail.com,Dog With A Bone Limited,GB,"""Direct Client Or Prospect"",""EQ"",""GB"",""Upload 03-Nov-25"",""London & South-East England"""
Stephen Ross,Stephen,Ross,sample5@googlemail.com,3D Product Design,GB,"""Direct Client Or Prospect"",""EQ"",""GB"",""Upload 03-Nov-25"",""Glasgow & South-West Scotland"""
Tom Jones,Tom,Jones,sample6@yahoo.com,Tasty Cereals,GB,"""Direct Client Or Prospect"",""EQ"",""GB"",""Upload 03-Nov-25"",""Aberdeen & North Scotland"""
Peter Simons,Peter,Simons,sample7@me.com,Johnson Solicitors,GB,"""Direct Client Or Prospect"",""EQ"",""GB"",""Upload 03-Nov-25"",""Glasgow & South-West Scotland"""
Jamie Harold,Jamie,Harold,sample8@ms365.com,Ewan's Computer Shop,GB,"""Direct Client Or Prospect"",""EQ"",""GB"",""Upload 03-Nov-25"",""London & South-East England"""
Gareth Best,Gareth,Best,sample9@microsoft.com,Jones and Company Accountants,GB,"""Direct Client Or Prospect"",""EQ"",""GB"",""Upload 03-Nov-25"",""Midlands"""
Tina O'Brien,Tina,O'Brien,sample10@blueyonder.co.uk,Eastern Patent Attorneys,TW,"""Foreign Associates"",""Non-European Associate"",""EQ"",""TW"",""Upload 03-Nov-25"""
